Original,ROT13,Caesar+1,Caesar+3,Caesar-2,Morse,LeetSpeak,Vignere,Playfair (APOLLO),Keyword (IRONJAZ),Atbash,Bacon,DaVinci (Word),DaVinci (Sentence)
MAY THE FORCE BE WITH YOU ,ZNL GUR SBEPR OR JVGU LBH,NBZ UIF GPSDF CF XJUI ZPV,PDB WKH IRUFH EH ZLWK BRX,KYW RFC DMPAC ZC UGRF WMS,...../...../-...../.....-.-.-....-.--...-./---..-./-....--....,/\/\4'/ 7#3 |=02(3 83 \/\/!7# '/0|_|, ZCZ RIR GMPDR CC XVVI WPH, hllykcelqdgodxmrmvbs,GIX/SBJ/AKPOJ/RJ/VCSB/XKT,NZB/GSV/ULIXV/YV/DRGS/BLF,ABBAAAAAAABBAAA/BAABBAABBBAABAA/AABABABBBABAAABAAABAAABAA/AAAABAABAA/BABBAABAAABAABBAABBB/BBAAAABBBABABAA,YAM EHT ECROF EB HTIW UOY,UOY HTIW EB ECROF EHT YAM
TO BE FREE ,GB OR SERR,UP CF GSFF,WR EH IUHH,RM ZC DPCC,-.....-.--/-....-../-.----/...----.--./----/-......-.-.-/....-./-.....-.--/.......---..-.-..-..,70 83 |=233, GQ ZC STFC, slogdtkogx,SK/RJ/APJJ,GL/YV/UIVV,BAABBABBBA/AAAABAABAA/AABABBAAABAABAAAABAA,OT EB EERF,EERF EB OT
YOU EITHER DIE A HERO ,LBH RVGURE QVR N UREB,ZPV FJUIFS EJF B IFSP,BRX HLWKHU GLH D KHUR,WMS CGRFCP BGC Y FCPM,../.--...-...-../-.../-...--.-.-.-,'/0|_| 3!7#32 |)!3 4 #320, LQV CJGJFP EVG Y IRTP, xlsgmrkcwikdcqdsbx,XKT/JCSBJP/NCJ/I/BJPK,BLF/VRGSVI/WRV/Z/SVIL,BBAAAABBBABABAA/AABAAABAAABAABBAABBBAABAABAAAB/AAABBABAAAAABAA/AAAAA/AABBBAABAABAAABABBBA,UOY REHTIE EID A OREH,OREH A EID REHTIE UOY
OR LIVE LONG ENOUGH TO SEE YOURSELF AS THE VILLAIN ,BE YVIR YBAT RABHTU GB FRR LBHEFRYS NF GUR IVYYNVA,PS MJWF MPOH FOPVHI UP TFF ZPVSTFMG BT UIF WJMMBJO,RU OLYH ORQJ HQRXJK WR VHH BRXUVHOI DV WKH YLOODLQ,MP JGTC JMLE CLMSEF RM QCC WMSPQCJD YQ RFC TGJJYGL,../.---/--..-...--../.--./--.-,02 1!\/3 10|\|6 3|\|0|_|6# 70 533 '/0|_|2531|= 45 7#3 \/!114!|\|, BT JGWR MMLH GOMSHU UM TRG WMVEUFJD NU RFF XJJJBVP, pspmxcblungkbscnslxkfxbsstfocltukcwhoybpkh,KP/FCUJ/FKHZ/JHKTZB/SK/QJJ/XKTPQJFA/IQ/SBJ/UCFFICH,LI/OREV/OLMT/VMLFTS/GL/HVV/BLFIHVOU/ZH/GSV/EROOZRM,ABBBABAAAB/ABABBABAAABABABAABAA/ABABBABBBAABBABAABBA/AABAAABBABABBBABABAAAABBAAABBB/BAABBABBBA/BAABAAABAAAABAA/BBAAAABBBABABAABAAABBAABAAABAAABABBAABAB/AAAAABAABA/BAABBAABBBAABAA/BABABABAAAABABBABABBAAAAAABAAAABBAB,RO EVIL GNOL HGUONE OT EES FLESRUOY SA EHT NIALLIV,NIALLIV EHT SA FLESRUOY EES OT HGUONE GNOL EVIL RO
IM JUST HERE FOR THE GASOLINE ,VZ WHFG URER SBE GUR TNFBYVAR,JN KVTU IFSF GPS UIF HBTPMJOF,LP MXVW KHUH IRU WKH JDVROLQH,GK HSQR FCPC DMP RFC EYQMJGLC,-........./--..........----./...../-------/..--.--.---.-.-.--.-,!/\/\ _/|_|57 #323 |=02 7#3 64501!|\|3, VO HSTG ICPF HPP UUG EYTBNJLC, hpnidsfgpsqmfcoqlbkhgx,CG/DTQS/BJPJ/AKP/SBJ/ZIQKFCHJ,RN/QFHG/SVIV/ULI/GSV/TZHLORMV,ABAAAABBAA/ABAABBABAABAABABAABB/AABBBAABAABAAABAABAA/AABABABBBABAAAB/BAABBAABBBAABAA/AABBAAAAAABAABAABBBAABABBABAAAABBABAABAA,MI TSUJ EREH ROF EHT ENILOSAG,ENILOSAG EHT ROF EREH TSUJ MI
IT IS THE SMALL THINGS ,VG VF GUR FZNYY GUVATF,JU JT UIF TNBMM UIJOHT,LW LV WKH VPDOO WKLQJV,GR GQ RFC QKYJJ RFGLEQ,-.-..--./-..---/-........./.-.-...-../-...--.--,!7 !5 7#3 5/\/\411 7#!|\|65, VV GQ GJF QNNNM RIVPHQ, mrkrqmkxhloyfyikunux,CS/CQ/SBJ/QGIFF/SBCHZQ,RG/RH/GSV/HNZOO/GSRMTH,ABAAABAABB/ABAAABAABA/BAABBAABBBAABAA/BAABAABBAAAAAAAABABBABABB/BAABBAABBBABAAAABBABAABBABAABA,TI SI EHT LLAMS SGNIHT,SGNIHT LLAMS EHT SI TI
SIMPLE ACTS OF LOVE AND KINDNESS ,FVZCYR NPGF BS YBIR NAQ XVAQARFF,TJNQMF BDUT PG MPWF BOE LJOEOFTT,VLPSOH DFWV RI ORYH DQG NLQGQHVV,QGKNJC YARQ MD JMTC YLB IGLBLCQQ,-...../.--..-.......-----.-.-../...../....-----.-.-....-..........,5!/\/\|*13 4(75 0|= 10\/3 4|\||) |<!|\||)|\|355, FKNNJF CDRQ BH JMWR BLB XKOBLFFU, rkilofchutleblxcbheikhgikxux,QCGLFJ/IOSQ/KA/FKUJ/IHN/ECHNHJQQ,HRNKOV/ZXGH/LU/OLEV/ZMW/PRMWMVHH,BAABAABAAAABBAAABBBBABABBAABAA/AAAAAAAABABAABBBAABA/ABBBAAABAB/ABABBABBBABABABAABAA/AAAAAABBABAAABB/ABABAABAAAABBABAAABBABBABAABAABAABABAABA,ELPMIS STCA FO EVOL DNA SSENDNIK,SSENDNIK DNA EVOL FO STCA ELPMIS
WE DO NOT NEED ROADS ,JR QB ABG ARRQ EBNQF,XF EPO'U OFFE SPBET,ZH GRQ'W QHHG URDGV,UC BML'R LCCB PMYBQ,-...../....-.-..-..-/----/-...../..--......-..-.....,\/\/3 |)0|\|'7 |\|33|) 204|)5, JG BMO'V LCFQ SMYEF, xdepkbumkofesppcux,VJ/NK/HKS/HJJN/PKINQ,DV/WL/MLG/MVVW/ILZWH,BABBAAABAA/AAABBABBBA/ABBABABBBABAABB/ABBABAABAAAABAAAAABB/BAAABABBBAAAAAAAAABBBAABA,EW OD TON DEEN SDAOR,SDAOR DEEN TON OD EW
I WILL BE RIGHT HERE ,V JVYY OR EVTUG URER,J XJMM CF SJHIU IFSF,L ZLOO EH ULJKW KHUH,G UGJJ ZC PGEFR FCPC,.-/-...--.--/--.--.--/-.-.-----./.--.....-./-...../-.-.---..-.-..---../---..-./--.-./..-..-...-.....,! \/\/!11 83 2!6#7 #323, V XGJM DF PJTJU FFEG, rpmpbadsndmqkcsd,C/VCFF/RJ/PCZBS/BJPJ,R/DROO/YV/IRTSG/SVIV,ABAAA/BABBAABAAAABABBABABB/AAAABAABAA/BAAABABAAAAABBAAABBBBAABB/AABBBAABAABAAABAABAA,I LLIW EB THGIR EREH,EREH THGIR EB LLIW I
HE IS THE HARBINGER OF DEATH ,UR VF GUR UNEOVATRE BS QRNGU,IF JT UIF IBSCJOHFS PG EFBUI,KH LV WKH KDUELQJHU RI GHDWK,FC GQ RFC FYPZGLECP MD BCYRF,../.--.--.-/-----.-../.-......-..,#3 !5 7#3 #428!|\|632 0|= |)347#, UG GQ GJF FBEDJLEFE PD ERCUF, kckrqmckpqpnundsleeflqnv,BJ/CQ/SBJ/BIPRCHZJP/KA/NJISB,SV/RH/GSV/SZIYRMTVI/LU/WVZGS,AABBBAABAA/ABAAABAABA/BAABBAABBBAABAA/AABBBAAAAABAAABAAAABABAAAABBABAABBAAABAABAAAB/ABBBAAABAB/AAABBAABAAAAAAABAABBAABBB,EH SI EHT REGNIBRAH FO HTAED,HTAED FO REGNIBRAH EHT SI EH
